"id";"ALUMNOS";"ESPANOL";"MATEMATICAS";"INGLES";"CIENCIAS_NATURALES";"HISTORIA";"EDUCACION_FISICA";"ARTES";"TECNOLOGIA";"NUM_FALTAS";"PARTICIPACIONES";"RENDIMIENTO"
657;"JosE PErez GonzAlez";86.0;89.0;88.0;87.0;85.0;91.0;79.0;84.0;2;5;"Bueno"
658;"Elena LOpez GarcIa";75.0;78.0;77.0;76.0;74.0;80.0;69.0;72.0;4;4;"Regular"
659;"Miguel FernAndez JimEnez";90.0;93.0;92.0;91.0;88.0;95.0;83.0;87.0;1;6;"Muy Bueno"
660;"Claudia Torres RamIrez";68.0;70.0;69.0;68.0;66.0;73.0;60.0;64.0;5;2;"Deficiente"
661;"Diego GarcIa PErez";86.0;89.0;88.0;87.0;85.0;90.0;79.0;83.0;2;5;"Bueno"
662;"Patricia JimEnez FernAndez";75.0;77.0;76.0;74.0;73.0;79.0;69.0;71.0;4;4;"Regular"
663;"RaUl RamIrez GonzAlez";92.0;95.0;94.0;93.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
664;"MarIa FernAndez PErez";67.0;69.0;68.0;67.0;65.0;72.0;60.0;63.0;5;3;"Deficiente"
665;"AndrEs JimEnez GarcIa";86.0;89.0;88.0;87.0;85.0;91.0;79.0;83.0;2;5;"Bueno"
666;"Laura LOpez Torres";75.0;78.0;77.0;76.0;74.0;80.0;69.0;72.0;4;4;"Regular"
667;"Ricardo RamIrez JimEnez";92.0;95.0;94.0;93.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
668;"Ana PErez GonzAlez";68.0;70.0;69.0;68.0;66.0;73.0;60.0;64.0;5;2;"Deficiente"
669;"SofIa GarcIa RamIrez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;84.0;2;5;"Bueno"
670;"David FernAndez JimEnez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
671;"Carla JimEnez LOpez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
672;"Pablo Torres RamIrez";67.0;69.0;68.0;67.0;65.0;71.0;60.0;63.0;5;3;"Deficiente"
673;"Javier PErez GonzAlez";85.0;88.0;87.0;86.0;84.0;90.0;78.0;82.0;2;5;"Bueno"
674;"Patricia LOpez JimEnez";74.0;76.0;75.0;77.0;73.0;79.0;68.0;71.0;4;4;"Regular"
675;"Carlos RamIrez GarcIa";92.0;95.0;94.0;93.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
676;"LucIa FernAndez PErez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;63.0;5;2;"Deficiente"
677;"Alejandro JimEnez Torres";85.0;89.0;88.0;87.0;85.0;91.0;79.0;83.0;2;5;"Bueno"
678;"Sara GarcIa LOpez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
679;"AndrEs RamIrez FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
680;"JosE LOpez GarcIa";78.0;82.0;80.0;75.0;79.0;81.0;70.0;73.0;3;6;"Bueno"
681;"Ana PErez GOmez";68.0;70.0;72.0;67.0;66.0;71.0;62.0;64.0;5;4;"Deficiente"
682;"Carlos HernAndez DIaz";90.0;93.0;91.0;89.0;87.0;95.0;85.0;88.0;2;6;"Muy Bueno"
683;"Marta RamIrez LOpez";74.0;77.0;75.0;76.0;72.0;79.0;68.0;71.0;4;3;"Regular"
684;"Luis GonzAlez MartInez";88.0;91.0;89.0;87.0;85.0;92.0;80.0;83.0;2;5;"Bueno"
685;"SofIa MartInez RodrIguez";82.0;85.0;84.0;80.0;78.0;83.0;72.0;77.0;3;4;"Regular"
686;"David FernAndez GOmez";92.0;94.0;93.0;91.0;89.0;96.0;88.0;90.0;1;6;"Muy Bueno"
687;"Carmen LOpez SAnchez";67.0;71.0;70.0;69.0;66.0;72.0;60.0;62.0;5;2;"Deficiente"
688;"Ricardo RodrIguez GonzAlez";84.0;87.0;85.0;83.0;80.0;88.0;77.0;80.0;2;5;"Bueno"
689;"Laura FernAndez PErez";76.0;78.0;77.0;75.0;73.0;80.0;70.0;73.0;3;4;"Regular"
690;"Javier GOmez RamIrez";89.0;92.0;91.0;90.0;88.0;94.0;82.0;85.0;1;6;"Muy Bueno"
691;"Claudia RamIrez Torres";68.0;71.0;70.0;68.0;67.0;74.0;61.0;65.0;4;3;"Deficiente"
692;"Fernando LOpez MartInez";86.0;89.0;88.0;86.0;84.0;91.0;80.0;82.0;2;5;"Bueno"
693;"Paola GOmez RamIrez";74.0;76.0;75.0;73.0;72.0;79.0;69.0;71.0;4;4;"Regular"
694;"Alejandro SAnchez JimEnez";91.0;93.0;92.0;90.0;89.0;95.0;83.0;86.0;1;6;"Muy Bueno"
695;"Elena RodrIguez FernAndez";68.0;71.0;69.0;67.0;65.0;73.0;60.0;64.0;5;3;"Deficiente"
696;"Manuel GarcIa RamIrez";87.0;89.0;88.0;85.0;83.0;90.0;79.0;82.0;2;5;"Bueno"
697;"Andrea GonzAlez LOpez";75.0;77.0;76.0;74.0;73.0;81.0;68.0;71.0;4;4;"Regular"
698;"Santiago LOpez FernAndez";92.0;94.0;93.0;92.0;90.0;96.0;86.0;89.0;1;6;"Muy Bueno"
699;"Natalia FernAndez MartInez";67.0;69.0;68.0;67.0;66.0;72.0;60.0;62.0;5;2;"Deficiente"
700;"Diego RamIrez LOpez";85.0;88.0;87.0;85.0;84.0;91.0;80.0;83.0;2;5;"Bueno"
701;"Patricia SAnchez GOmez";74.0;76.0;75.0;77.0;73.0;78.0;68.0;71.0;4;4;"Regular"
702;"Juan GonzAlez Torres";91.0;93.0;92.0;90.0;88.0;95.0;84.0;87.0;1;6;"Muy Bueno"
703;"Ana MarIa LOpez RamIrez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;65.0;5;3;"Deficiente"
704;"Jorge FernAndez PErez";84.0;87.0;86.0;88.0;85.0;90.0;78.0;81.0;2;5;"Bueno"
705;"Gabriela MartInez GarcIa";73.0;76.0;75.0;74.0;72.0;79.0;67.0;70.0;4;4;"Regular"
706;"TomAs RamIrez FernAndez";90.0;93.0;91.0;92.0;89.0;95.0;83.0;86.0;1;6;"Muy Bueno"
707;"SofIa RodrIguez SAnchez";67.0;69.0;68.0;67.0;66.0;72.0;60.0;63.0;5;2;"Deficiente"
708;"Luis Alberto LOpez RamIrez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;84.0;2;5;"Bueno"
709;"Claudia PErez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
710;"JosE Eduardo MartInez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
711;"Elena GarcIa LOpez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;64.0;5;3;"Deficiente"
712;"Ricardo MartInez RamIrez";87.0;89.0;88.0;85.0;84.0;90.0;79.0;82.0;2;5;"Bueno"
713;"Laura SAnchez GonzAlez";76.0;78.0;77.0;75.0;73.0;81.0;70.0;73.0;3;4;"Regular"
714;"David LOpez RamIrez";92.0;94.0;93.0;91.0;89.0;96.0;88.0;90.0;1;6;"Muy Bueno"
715;"Claudia MartInez RamIrez";67.0;69.0;68.0;67.0;66.0;71.0;60.0;62.0;5;2;"Deficiente"
716;"Fernando GonzAlez SAnchez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;83.0;2;5;"Bueno"
717;"Patricia RamIrez LOpez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
718;"Miguel Angel FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
719;"Carmen LOpez MartInez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;64.0;5;3;"Deficiente"
720;"AndrEs SAnchez RamIrez";86.0;89.0;88.0;85.0;83.0;90.0;79.0;84.0;2;5;"Bueno"
721;"Natalia GOmez FernAndez";75.0;77.0;76.0;74.0;73.0;79.0;68.0;71.0;4;4;"Regular"
722;"Javier RamIrez GonzAlez";92.0;94.0;93.0;91.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
723;"Gabriela LOpez PErez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;62.0;5;3;"Deficiente"
724;"Ricardo SAnchez JimEnez";85.0;88.0;87.0;86.0;84.0;90.0;78.0;82.0;2;5;"Bueno"
725;"Ana FernAndez GonzAlez";74.0;76.0;75.0;77.0;73.0;78.0;68.0;71.0;4;4;"Regular"
726;"David GarcIa RamIrez";90.0;93.0;92.0;90.0;88.0;95.0;83.0;87.0;1;6;"Muy Bueno"
727;"Carmen RamIrez PErez";68.0;71.0;69.0;68.0;66.0;73.0;60.0;64.0;5;2;"Deficiente"
728;"Luis Alberto SAnchez";84.0;87.0;86.0;85.0;84.0;90.0;78.0;81.0;2;5;"Bueno"
729;"Marta PErez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
730;"JosE Luis FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
731;"SofIa LOpez MartInez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;65.0;5;3;"Deficiente"
732;"Diego SAnchez RamIrez";87.0;89.0;88.0;85.0;84.0;91.0;79.0;82.0;2;5;"Bueno"
733;"Ana MarIa RamIrez";75.0;77.0;76.0;74.0;73.0;79.0;68.0;71.0;4;4;"Regular"
734;"Jorge LOpez GonzAlez";92.0;94.0;93.0;91.0;90.0;96.0;86.0;89.0;1;6;"Muy Bueno"
735;"Gabriela SAnchez PErez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;63.0;5;2;"Deficiente"
736;"Miguel Angel MartInez";85.0;88.0;87.0;86.0;84.0;91.0;79.0;84.0;2;5;"Bueno"
737;"Natalia RamIrez LOpez";74.0;76.0;75.0;77.0;73.0;79.0;69.0;71.0;4;4;"Regular"
738;"Javier LOpez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
739;"Carmen SAnchez MartInez";68.0;71.0;70.0;68.0;66.0;73.0;60.0;64.0;5;3;"Deficiente"
740;"Ricardo FernAndez PErez";84.0;87.0;86.0;85.0;84.0;90.0;78.0;81.0;2;5;"Bueno"
741;"Marta LOpez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
742;"JosE Manuel GarcIa";90.0;93.0;92.0;90.0;88.0;95.0;83.0;87.0;1;6;"Muy Bueno"
743;"Ana FernAndez SAnchez";68.0;71.0;69.0;68.0;66.0;74.0;60.0;64.0;5;2;"Deficiente"
744;"Luis GonzAlez RamIrez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;83.0;2;5;"Bueno"
745;"Gabriela LOpez FernAndez";74.0;76.0;75.0;77.0;73.0;79.0;69.0;71.0;4;4;"Regular"
746;"David RamIrez GonzAlez";92.0;94.0;93.0;92.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
747;"Claudia FernAndez LOpez";67.0;69.0;68.0;67.0;66.0;72.0;60.0;62.0;5;3;"Deficiente"
748;"Fernando SAnchez RamIrez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;84.0;2;5;"Bueno"
749;"Patricia LOpez GonzAlez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
750;"Ricardo MartInez FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
751;"SofIa RamIrez PErez";68.0;71.0;70.0;69.0;67.0;73.0;60.0;65.0;5;3;"Deficiente"
752;"Javier LOpez GonzAlez";85.0;88.0;87.0;86.0;84.0;91.0;79.0;84.0;2;5;"Bueno"
753;"Ana MarIa FernAndez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
754;"JosE Luis RamIrez PErez";92.0;94.0;93.0;91.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
755;"Claudia GonzAlez MartInez";67.0;69.0;68.0;67.0;66.0;74.0;60.0;62.0;5;2;"Deficiente"
756;"Fernando RamIrez LOpez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;83.0;2;5;"Bueno"
757;"Gabriela FernAndez PErez";74.0;76.0;75.0;77.0;73.0;79.0;69.0;71.0;4;4;"Regular"
758;"David SAnchez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
759;"Natalia PErez GonzAlez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;64.0;5;3;"Deficiente"
760;"Luis RamIrez MartInez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
761;"Marta FernAndez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
762;"JosE Miguel LOpez";90.0;93.0;92.0;90.0;88.0;95.0;83.0;87.0;1;6;"Muy Bueno"
763;"Ana GOmez SAnchez";68.0;71.0;69.0;68.0;66.0;74.0;60.0;64.0;5;2;"Deficiente"
764;"Claudia LOpez RamIrez";85.0;89.0;88.0;87.0;85.0;90.0;79.0;84.0;2;5;"Bueno"
765;"Fernando FernAndez PErez";74.0;76.0;75.0;77.0;73.0;79.0;69.0;71.0;4;4;"Regular"
766;"Gabriela RamIrez MartInez";92.0;94.0;93.0;91.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
767;"David PErez LOpez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;63.0;5;3;"Deficiente"
768;"Ricardo LOpez FernAndez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;82.0;2;5;"Bueno"
769;"SofIa RamIrez GonzAlez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
770;"Ana MarIa LOpez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
771;"JosE Fernando MartInez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;64.0;5;2;"Deficiente"
772;"Gabriela SAnchez RamIrez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;84.0;2;5;"Bueno"
773;"Claudia RamIrez PErez";74.0;76.0;75.0;77.0;73.0;79.0;69.0;71.0;4;4;"Regular"
774;"David GonzAlez LOpez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
775;"Ana FernAndez MartInez";67.0;69.0;68.0;66.0;65.0;74.0;60.0;62.0;5;3;"Deficiente"
776;"Luis Miguel RamIrez";85.0;89.0;88.0;87.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
777;"Javier SAnchez FernAndez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
778;"Ricardo PErez LOpez";90.0;93.0;92.0;90.0;88.0;95.0;83.0;87.0;1;6;"Muy Bueno"
779;"Gabriela FernAndez RamIrez";68.0;71.0;69.0;68.0;66.0;74.0;60.0;64.0;5;2;"Deficiente"
780;"SofIa LOpez RamIrez";85.0;89.0;88.0;87.0;85.0;90.0;79.0;84.0;2;5;"Bueno"
781;"Claudia RamIrez GonzAlez";74.0;76.0;75.0;77.0;73.0;79.0;69.0;71.0;4;4;"Regular"
782;"David LOpez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
783;"Fernando SAnchez PErez";67.0;69.0;68.0;67.0;66.0;72.0;60.0;62.0;5;3;"Deficiente"
784;"Gabriela RamIrez LOpez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;83.0;2;5;"Bueno"
785;"Ana MarIa GonzAlez FernAndez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
786;"JosE Luis SAnchez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
787;"Natalia LOpez PErez";68.0;71.0;69.0;68.0;66.0;74.0;60.0;64.0;5;2;"Deficiente"
788;"Luis RamIrez MartInez";85.0;89.0;88.0;87.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
789;"Javier FernAndez GonzAlez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
790;"Ana RamIrez PErez";92.0;94.0;93.0;91.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
791;"David LOpez MartInez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;62.0;5;3;"Deficiente"
792;"SofIa RamIrez PErez";85.0;88.0;87.0;86.0;84.0;91.0;79.0;84.0;2;5;"Bueno"
793;"Ricardo SAnchez RamIrez";74.0;76.0;75.0;77.0;73.0;79.0;69.0;71.0;4;4;"Regular"
794;"Gabriela GonzAlez FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
795;"Claudia LOpez RamIrez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;64.0;5;2;"Deficiente"
796;"JosE RamIrez GonzAlez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;83.0;2;5;"Bueno"
797;"Patricia FernAndez PErez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
798;"Luis Fernando SAnchez";92.0;94.0;93.0;91.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
799;"Ana LOpez RamIrez";67.0;69.0;68.0;67.0;66.0;71.0;60.0;63.0;5;3;"Deficiente"
800;"Ricardo PErez FernAndez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;84.0;2;5;"Bueno"
801;"Javier GonzAlez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
802;"David FernAndez SAnchez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
803;"Carmen RamIrez MartInez";68.0;71.0;70.0;68.0;66.0;74.0;60.0;65.0;5;2;"Deficiente"
804;"JosE Miguel RamIrez";85.0;89.0;88.0;87.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
805;"Gabriela LOpez RamIrez";74.0;76.0;75.0;77.0;73.0;79.0;69.0;71.0;4;4;"Regular"
806;"Natalia SAnchez GonzAlez";92.0;94.0;93.0;91.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
807;"Ricardo LOpez FernAndez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;62.0;5;3;"Deficiente"
808;"SofIa RamIrez PErez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;83.0;2;5;"Bueno"
809;"Ana MarIa FernAndez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
810;"David GonzAlez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
811;"Gabriela LOpez FernAndez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;64.0;5;2;"Deficiente"
812;"JosE Luis MartInez RamIrez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
813;"Claudia SAnchez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
814;"Fernando PErez LOpez";92.0;94.0;93.0;91.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
815;"SofIa MartInez RamIrez";67.0;69.0;68.0;66.0;65.0;74.0;60.0;62.0;5;3;"Deficiente"
816;"Ricardo LOpez RamIrez";85.0;89.0;88.0;87.0;85.0;90.0;79.0;84.0;2;5;"Bueno"
817;"Ana GOmez FernAndez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
818;"JosE Luis SAnchez PErez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
819;"David FernAndez RamIrez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;64.0;5;2;"Deficiente"
820;"Gabriela SAnchez PErez";85.0;88.0;87.0;86.0;84.0;91.0;79.0;83.0;2;5;"Bueno"
821;"Ricardo RamIrez GonzAlez";74.0;76.0;75.0;77.0;73.0;79.0;69.0;71.0;4;4;"Regular"
822;"Natalia LOpez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
823;"JosE Fernando GonzAlez";67.0;69.0;68.0;66.0;65.0;72.0;60.0;62.0;5;3;"Deficiente"
824;"Claudia RamIrez FernAndez";85.0;89.0;88.0;87.0;85.0;90.0;79.0;84.0;2;5;"Bueno"
825;"Ana MarIa LOpez GonzAlez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
826;"David RamIrez PErez";92.0;94.0;93.0;91.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
827;"Ricardo LOpez SAnchez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;64.0;5;2;"Deficiente"
828;"SofIa FernAndez RamIrez";85.0;88.0;87.0;86.0;84.0;91.0;79.0;84.0;2;5;"Bueno"
829;"Gabriela SAnchez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
830;"JosE Luis PErez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
831;"Ana MarIa FernAndez PErez";67.0;69.0;68.0;67.0;66.0;74.0;60.0;62.0;5;3;"Deficiente"
832;"Ricardo RamIrez MartInez";85.0;89.0;88.0;87.0;84.0;90.0;79.0;83.0;2;5;"Bueno"
833;"SofIa RamIrez GonzAlez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;72.0;4;4;"Regular"
834;"JosE Miguel FernAndez RamIrez";92.0;94.0;93.0;91.0;90.0;96.0;85.0;89.0;1;6;"Muy Bueno"
835;"Ana LOpez MartInez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;65.0;5;3;"Deficiente"
836;"Gabriela LOpez RamIrez";85.0;89.0;88.0;87.0;85.0;90.0;79.0;84.0;2;5;"Bueno"
837;"Ricardo MartInez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
838;"David FernAndez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
839;"JosE Luis FernAndez RamIrez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;62.0;5;3;"Deficiente"
840;"Gabriela RamIrez FernAndez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
841;"Ana MarIa RamIrez PErez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
842;"JosE Luis PErez FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
843;"Ricardo PErez RamIrez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;62.0;5;2;"Deficiente"
844;"SofIa GonzAlez RamIrez";85.0;89.0;88.0;87.0;85.0;91.0;79.0;83.0;2;5;"Bueno"
845;"Ana MarIa FernAndez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
846;"David PErez FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
847;"Gabriela MartInez FernAndez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;65.0;5;3;"Deficiente"
848;"JosE Luis SAnchez RamIrez";85.0;89.0;88.0;87.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
849;"Ricardo RamIrez PErez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
850;"Ana FernAndez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
851;"JosE Luis MartInez FernAndez";67.0;69.0;68.0;66.0;65.0;74.0;60.0;62.0;5;3;"Deficiente"
852;"Gabriela LOpez FernAndez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
853;"Ana MarIa RamIrez FernAndez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
854;"David RamIrez PErez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
855;"JosE Luis SAnchez PErez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;62.0;5;3;"Deficiente"
856;"Gabriela FernAndez RamIrez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
857;"Ana MarIa FernAndez PErez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
858;"JosE Luis MartInez FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
859;"Ricardo RamIrez PErez";67.0;69.0;68.0;66.0;65.0;72.0;60.0;62.0;5;3;"Deficiente"
860;"Gabriela SAnchez RamIrez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
861;"Ana MarIa FernAndez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
862;"JosE Luis PErez FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
863;"Ricardo RamIrez GonzAlez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;62.0;5;2;"Deficiente"
864;"Gabriela FernAndez LOpez";85.0;89.0;88.0;87.0;85.0;90.0;79.0;84.0;2;5;"Bueno"
865;"Ana MarIa RamIrez FernAndez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
866;"JosE Luis PErez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
867;"Ricardo MartInez FernAndez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;62.0;5;3;"Deficiente"
868;"Gabriela LOpez FernAndez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
869;"Ana MarIa FernAndez PErez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
870;"JosE Luis PErez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
871;"Ricardo RamIrez GonzAlez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;62.0;5;2;"Deficiente"
872;"Gabriela SAnchez PErez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
873;"Ana MarIa FernAndez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
874;"JosE Luis MartInez FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
875;"Ricardo RamIrez PErez";67.0;69.0;68.0;66.0;65.0;74.0;60.0;62.0;5;3;"Deficiente"
876;"Gabriela SAnchez RamIrez";85.0;88.0;87.0;86.0;84.0;90.0;79.0;84.0;2;5;"Bueno"
877;"Ana MarIa FernAndez RamIrez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
878;"JosE Luis PErez FernAndez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
879;"Ricardo RamIrez GonzAlez";68.0;71.0;70.0;69.0;67.0;74.0;60.0;62.0;5;2;"Deficiente"
880;"Gabriela FernAndez LOpez";85.0;89.0;88.0;87.0;85.0;90.0;79.0;84.0;2;5;"Bueno"
881;"Ana MarIa RamIrez FernAndez";74.0;77.0;76.0;75.0;73.0;79.0;69.0;71.0;4;4;"Regular"
882;"JosE Luis PErez RamIrez";91.0;94.0;93.0;92.0;89.0;96.0;84.0;88.0;1;6;"Muy Bueno"
883;"Ricardo MartInez FernAndez";67.0;69.0;68.0;66.0;65.0;71.0;60.0;62.0;5;3;"Deficiente"
